term,estimate,std_error,t_value,p_value
Intercept,36924.771616209844,11510.444524854534,3.207936195381341,0.0013517541934557457
vNS,11892.682767019733,7049.013375103468,1.687141467063136,0.09168577654839502
vCOL,-37377.90982702148,37354.585847854854,-1.0006243939970751,0.3170935288919958
vDOM,-40039.39713432947,23375.131041610533,-1.7129057827763423,0.08683882925292787
vGTM,-42864.82261390031,35542.32154927161,-1.2060220251644975,0.22790928282523457
vHTI,-38808.72280761055,37338.88414094999,-1.0393648257165933,0.2987234182569414
vMEX,-44220.98612064698,12362.130918834393,-3.5771329725422865,0.0003531754698114307
vNIC,-38045.22551766381,29718.62918839917,-1.2801810364966286,0.20058584254390782
vSLV,-43156.88061789863,30423.300170208055,-1.4185469813087503,0.15614066423101822
